segment,event_time_s,gyro_mag
0,14.469,9.607445029767279
0,15.317,4.875746096752783
0,15.9,5.791217488576992
0,17.119,1.6011246047700347
0,17.649,2.738503240823352
0,18.497,4.440957104048631
0,19.239,2.022473732833136
0,19.875,3.448390929114621
0,20.511,2.308895840006647
0,20.935,1.4340850741849314
0,21.783,1.6255460620972877
0,22.366,1.2722814154109146
0,23.002,1.4391664254004815
0,23.85,6.319604417999595
0,50.191,1.1058480908334563
0,50.827,6.325013833976966
0,51.516,0.9747820269167873
0,52.47,1.3990711204224036
0,53.106,1.5306861206661542
0,53.53,3.326229096138749
0,54.749,5.143675728503887
0,56.021,1.1104953849521395
0,56.71,2.5460950492862593
0,57.134,1.0661144403862093
0,57.611,9.069807054177062
0,58.3,2.6783577057592587
0,58.989,1.6199074047611488
0,62.116,8.902055942309058
0,63.282,1.7904747973652129
0,64.024,1.9873097393209749
0,64.607,1.6419805114556019
0,65.243,6.8094713451192375
0,65.932,2.387697635798972
0,67.31,2.1459729728027797
0,68.052,1.6997941051786245
0,68.529,3.193195891266303
0,69.271,2.746525077256714
0,69.854,3.762738364542504
0,70.543,1.4883547964111246
0,71.444,6.080838757934632
0,71.921,5.874504234401401
0,72.663,2.3604660556762935
0,73.246,5.054314988205623
0,73.988,2.5761405241174247
0,74.412,3.9797864264304437
0,74.942,0.8023091673413685
0,75.366,1.0932977636490435
0,75.896,0.913454979733539
0,78.599,3.5841316940090246
0,79.129,1.7998333256165693
0,79.553,6.841059859407751
0,80.348,1.177200067957864
0,80.772,1.5832245576670418
0,81.514,2.3576259245266202
0,82.256,2.035116704270298
0,82.733,1.3653204751998704
0,83.21,4.553877468707299
0,84.111,3.3183128243129825
0,84.535,1.9088740136530749
0,85.277,2.018786764371116
0,86.072,9.497968203779164
0,87.185,1.2355160864998884
0,87.715,4.179330089858899
0,88.245,4.833311494203534
0,89.093,4.3526888241637485
1,0.689,0.9269304181005175
1,1.113,1.8186533479473213
1,2.703,2.0651634317893586
1,3.339,2.573441275801723
1,3.763,1.6472401160729422
1,4.293,0.9415943925066674
1,5.141,1.6942845097562569
1,5.671,1.0580642702596095
1,6.36,6.74529465627707
1,6.996,3.6768056788467893
1,8.109,3.032127965637334
1,8.586,1.158878768465451
1,9.805,2.6742662545079536
1,10.547,1.5423683088030562
1,11.501,0.8682741502543997
1,12.137,1.182455073142316
1,16.006,2.3558862451315425
1,17.861,1.5746428166412851
1,18.285,2.486966023089178
1,19.292,4.850010309267393
1,19.981,1.8613167382259261
1,20.564,1.545897797398004
1,21.412,0.9685040010242602
1,22.843,0.8268010643437755
1,25.334,0.9644169222903547
1,25.811,1.7226433176952216
1,28.673,1.9592090240706836
1,30.369,2.550960603380617
1,30.793,1.174137981669957
1,31.376,6.843778196288947
1,32.065,3.2127713893148386
1,32.807,2.444381312316063
1,33.443,1.448343881818127
1,33.92,2.117002598014466
1,34.927,3.977511785023396
1,35.881,5.493286812100748
1,36.305,2.29196422310646
1,36.729,2.2782010446841605
1,37.206,2.883470131629596
1,37.63,7.0656705272748175
1,38.266,2.603171143048417
1,38.955,1.8338484124921557
1,40.81,3.886039114574119
1,41.552,3.7438749979132586
1,42.771,5.296725403492236
1,43.354,1.8988944151795275
1,45.792,2.3983536019528064
1,46.587,1.1898319209031163
1,48.071,2.0402205763103165
2,0.53,3.1746810863455246
2,1.06,1.0523782589924593
2,1.855,4.391594243552106
2,2.438,5.48457837941988
