timestamp,heel_fsr,toe_fsr,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
7312,0,0,0.78,9.33,-1.96,0.02,-0.12,-0.01
7365,0,0,0.78,9.31,-1.96,0.02,-0.12,-0.01
7418,0,0,0.76,9.33,-1.96,0.02,-0.12,-0.01
7471,0,0,0.77,9.33,-1.98,0.02,-0.12,-0.01
7524,0,0,0.75,9.32,-1.98,0.02,-0.12,-0.01
7577,0,0,0.76,9.34,-1.96,0.02,-0.12,-0.01
7630,0,0,0.76,9.31,-1.98,0.02,-0.12,-0.01
7683,0,0,0.77,9.33,-1.96,0.02,-0.12,-0.01
7736,0,0,0.77,9.30,-1.99,0.02,-0.12,-0.01
7789,0,0,0.75,9.33,-1.97,0.02,-0.12,-0.01
7842,0,0,0.75,9.31,-1.97,0.02,-0.12,-0.01
7895,0,0,0.73,9.33,-2.01,0.02,-0.12,-0.01
7948,0,0,0.75,9.33,-1.97,0.02,-0.12,-0.01
8001,0,0,0.76,9.33,-1.98,0.02,-0.13,-0.01
8054,0,0,0.77,9.33,-2.00,0.02,-0.13,-0.01
8107,0,0,0.76,9.31,-1.99,0.02,-0.12,-0.01
8160,0,0,0.73,9.35,-1.96,0.02,-0.12,-0.01
8213,0,0,0.75,9.34,-1.97,0.02,-0.12,-0.01
8266,0,0,0.74,9.33,-1.98,0.02,-0.12,-0.01
8319,0,0,0.75,9.33,-1.98,0.02,-0.13,-0.01
8372,0,0,0.75,9.33,-1.97,0.02,-0.12,-0.01
8425,0,0,0.74,9.33,-2.01,0.02,-0.12,-0.01
8478,0,0,0.75,9.32,-1.98,0.02,-0.12,-0.01
8531,0,0,0.77,9.34,-1.97,0.02,-0.12,-0.01
8584,0,0,0.75,9.30,-1.96,0.02,-0.12,-0.01
8637,0,0,0.75,9.33,-1.95,0.02,-0.13,-0.01
8690,0,0,0.75,9.32,-2.00,0.02,-0.13,-0.01
8743,0,0,0.76,9.32,-1.99,0.02,-0.12,-0.01
8796,0,0,0.75,9.35,-2.00,0.02,-0.12,-0.01
8849,0,0,0.77,9.35,-1.97,0.02,-0.12,-0.01
8902,0,0,0.74,9.33,-1.98,0.02,-0.13,-0.01
8955,0,0,0.74,9.33,-2.01,0.02,-0.12,-0.01
9008,0,0,0.75,9.33,-1.97,0.02,-0.13,-0.01
9061,0,0,0.76,9.31,-1.98,0.02,-0.13,-0.01
9114,0,0,0.74,9.33,-2.01,0.02,-0.13,-0.01
9167,0,0,0.74,9.32,-2.01,0.02,-0.13,-0.01
9220,0,0,0.75,9.31,-1.94,0.02,-0.13,-0.01
9273,0,0,0.75,9.34,-1.97,0.02,-0.13,-0.01
9326,0,0,0.75,9.32,-2.00,0.02,-0.13,-0.01
9379,0,0,0.76,9.33,-1.95,0.02,-0.12,-0.01
9432,0,0,0.74,9.33,-1.99,0.02,-0.12,-0.01
9485,0,0,0.74,9.34,-1.98,0.02,-0.12,-0.01
9538,0,0,0.75,9.32,-1.98,0.02,-0.12,-0.01
9591,0,0,0.74,9.31,-2.02,0.02,-0.12,-0.01
9644,0,0,0.75,9.32,-1.97,0.02,-0.12,-0.01
9697,0,0,0.76,9.33,-1.98,0.02,-0.12,-0.01
9750,0,0,0.74,9.35,-1.95,0.02,-0.13,-0.01
9803,0,0,0.75,9.33,-1.98,0.02,-0.13,-0.01
9856,0,0,0.74,9.32,-1.97,0.02,-0.13,-0.01
9909,0,0,0.75,9.32,-1.98,0.02,-0.13,-0.01
9962,0,0,0.74,9.28,-1.98,0.02,-0.12,-0.01
10015,0,0,0.76,9.33,-1.97,0.02,-0.12,-0.01
10068,0,0,0.75,9.34,-1.97,0.02,-0.13,-0.01
10121,0,0,0.74,9.33,-2.00,0.02,-0.12,-0.01
10174,0,0,0.72,9.34,-1.97,0.02,-0.12,-0.01
10227,0,0,0.74,9.31,-1.97,0.02,-0.12,-0.01
10280,0,0,0.74,9.33,-1.95,0.02,-0.12,-0.01
10333,0,0,0.77,9.34,-1.98,0.02,-0.13,-0.01
10386,0,0,0.78,9.33,-1.99,0.02,-0.13,-0.01
10439,0,0,0.74,9.33,-1.97,0.02,-0.13,-0.01
10492,0,0,0.77,9.32,-1.99,0.02,-0.12,-0.01
10545,0,0,0.74,9.33,-1.97,0.02,-0.12,-0.01
10598,0,0,0.74,9.34,-2.00,0.02,-0.13,-0.01
10651,0,0,0.75,9.33,-1.97,0.02,-0.13,-0.01
10704,0,0,0.73,9.32,-1.98,0.02,-0.13,-0.01
10757,0,0,0.77,9.32,-2.01,0.02,-0.13,-0.01
10810,0,0,0.77,9.29,-1.98,0.02,-0.13,-0.01
10863,0,0,0.73,9.32,-1.95,0.02,-0.13,-0.01
10916,0,0,0.75,9.33,-2.00,0.02,-0.12,-0.01
10969,0,0,0.75,9.32,-1.95,0.02,-0.12,-0.01
11022,0,0,0.74,9.33,-1.97,0.02,-0.12,-0.01
11075,0,0,0.73,9.33,-1.95,0.02,-0.13,-0.01
11128,0,0,0.76,9.31,-1.99,0.02,-0.13,-0.01
11181,0,0,0.76,9.31,-1.98,0.02,-0.13,-0.01
11234,0,0,0.73,9.32,-1.98,0.02,-0.13,-0.01
11287,0,0,0.76,9.31,-1.97,0.02,-0.13,-0.01
11340,0,0,0.74,9.34,-1.97,0.02,-0.12,-0.01
11393,0,0,0.74,9.31,-2.00,0.02,-0.13,-0.02
11446,0,0,0.76,9.34,-1.98,0.02,-0.13,-0.01
11499,0,0,0.75,9.32,-1.94,0.02,-0.13,-0.01
11552,0,0,0.75,9.32,-1.98,0.02,-0.13,-0.01
11605,0,0,0.76,9.32,-1.98,0.02,-0.13,-0.01
11658,0,0,0.76,9.33,-1.90,0.02,-0.12,-0.01
11711,0,0,0.69,9.34,-1.94,0.02,-0.12,-0.01
11764,0,0,0.74,9.32,-2.00,0.02,-0.12,-0.01
11817,0,0,0.69,9.40,-1.96,0.02,-0.12,-0.01
11870,0,0,0.78,9.23,-1.92,0.02,-0.12,-0.01
11923,0,0,0.78,9.30,-1.98,0.02,-0.13,-0.01
11976,0,0,0.75,9.32,-1.96,0.02,-0.13,-0.01
12029,0,0,0.73,9.32,-2.01,0.02,-0.13,-0.01
12082,0,0,0.71,9.32,-2.00,0.02,-0.12,-0.01
